팜맵고유번호, 영상촬영년도, PNU지번코드, 법정읍면동코드, 법정읍면동명, 변경구분코드, 변경구분명, 지번, 판독코드, 판독명, 판독영상구분코드, 판독영상구분명, 판독입력일자, 갱신이력코드, 갱신이력명, 도엽번호
05575696, 2017, 2915510900102920000, 29155109, 덕남동, 01, 유지, 292답, 01, 논, 01, 항공영상, 20181130, , , 35616066
05575698, 2017, 2915510900102930000, 29155109, 덕남동, 01, 유지, 293답, 01, 논, 01, 항공영상, 20181130, , , 35616066
05575693, 2017, 2915510900102940001, 29155109, 덕남동, 01, 유지, 294-1답, 01, 논, 01, 항공영상, 20181130, , , 35616066
05575724, 2017, 2915510900103080000, 29155109, 덕남동, 01, 유지, 308답, 01, 논, 01, 항공영상, 20181130, , , 35616066
05573770, 2017, 2915510900103090000, 29155109, 덕남동, 01, 유지, 309답, 01, 논, 01, 항공영상, 20181130, , , 35616066
05575660, 2017, 2915511000101310001, 29155110, 행암동, 01, 유지, 131-1답, 01, 논, 01, 항공영상, 20181130, , , 35616056
05575658, 2017, 2915511000101350000, 29155110, 행암동, 01, 유지, 135답, 01, 논, 01, 항공영상, 20181130, , , 35616056
05575531, 2017, 2915511000102710000, 29155110, 행암동, 01, 유지, 271 답, 01, 논, 01, 항공영상, 20181130, , , 35616066
05575633, 2017, 2915511000102800000, 29155110, 행암동, 01, 유지, 280답, 01, 논, 01, 항공영상, 20181130, , , 35616056
05575631, 2017, 2915511000102800003, 29155110, 행암동, 01, 유지, 280-3답, 01, 논, 01, 항공영상, 20181130, , , 35616066
05575635, 2017, 2915511000102930000, 29155110, 행암동, 01, 유지, 293답, 01, 논, 01, 항공영상, 20181130, , , 35616056
05645381, 2017, 2915511000104580000, 29155110, 행암동, 01, 유지, 458답, 01, 논, 01, 항공영상, 20181130, , , 35616066
05645515, 2017, 2915511000104580000, 29155110, 행암동, 01, 유지, 458답, 01, 논, 01, 항공영상, 20181130, , , 35616066
05645514, 2017, 2915511000104590001, 29155110, 행암동, 01, 유지, 459-1답, 01, 논, 01, 항공영상, 20181130, , , 35616066
05645432, 2017, 2915511100101210000, 29155111, 임암동, 01, 유지, 121답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05645429, 2017, 2915511100101220003, 29155111, 임암동, 01, 유지, 122-3 답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05645426, 2017, 2915511100101230003, 29155111, 임암동, 01, 유지, 123-3 답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05645428, 2017, 2915511100101250003, 29155111, 임암동, 01, 유지, 125-3답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05647428, 2017, 2915511100101410003, 29155111, 임암동, 01, 유지, 141-3답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05648109, 2017, 2915511100101430004, 29155111, 임암동, 01, 유지, 143-4답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05647427, 2017, 2915511100101430004, 29155111, 임암동, 01, 유지, 143-4답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05648103, 2017, 2915511100101450002, 29155111, 임암동, 01, 유지, 145-2답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05648105, 2017, 2915511100101460001, 29155111, 임암동, 01, 유지, 146-1답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05647431, 2017, 2915511100101460001, 29155111, 임암동, 01, 유지, 146-1답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05648104, 2017, 2915511100101480000, 29155111, 임암동, 01, 유지, 148답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05648106, 2017, 2915511100101560002, 29155111, 임암동, 01, 유지, 156-2답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05648107, 2017, 2915511100101560002, 29155111, 임암동, 01, 유지, 156-2답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05646138, 2017, 2915511100104430000, 29155111, 임암동, 01, 유지, 443답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05646137, 2017, 2915511100104440001, 29155111, 임암동, 01, 유지, 444-1답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05573440, 2017, 2915511100104560000, 29155111, 임암동, 01, 유지, 456답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05645818, 2017, 2915511100104560001, 29155111, 임암동, 01, 유지, 456-1답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05645817, 2017, 2915511100104580000, 29155111, 임암동, 01, 유지, 458답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05645815, 2017, 2915511100104590000, 29155111, 임암동, 01, 유지, 459답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05645816, 2017, 2915511100104600000, 29155111, 임암동, 01, 유지, 460답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05645819, 2017, 2915511100104600000, 29155111, 임암동, 01, 유지, 460답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05645812, 2017, 2915511100105790000, 29155111, 임암동, 02, 변경, 579전, 01, 논, 01, 항공영상, 20181130, , , 35616055
05647315, 2017, 2915511100105890000, 29155111, 임암동, 01, 유지, 589답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05647314, 2017, 2915511100105910000, 29155111, 임암동, 01, 유지, 591 답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05647316, 2017, 2915511100105910000, 29155111, 임암동, 01, 유지, 591 답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05647313, 2017, 2915511100105920000, 29155111, 임암동, 01, 유지, 592답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05647312, 2017, 2915511100105930000, 29155111, 임암동, 01, 유지, 593답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05572775, 2017, 2915511100105960000, 29155111, 임암동, 01, 유지, 596 답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05572776, 2017, 2915511100105960001, 29155111, 임암동, 01, 유지, 596-1 답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05647391, 2017, 2915511100106020000, 29155111, 임암동, 01, 유지, 602답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05647392, 2017, 2915511100106040000, 29155111, 임암동, 01, 유지, 604답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05647394, 2017, 2915511100106050001, 29155111, 임암동, 01, 유지, 605-1답, 01, 논, 01, 항공영상, 20181130, , , 35616055
05647398, 2017, 2915511100106090000, 29155111, 임암동, 01, 유지, 609답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05647404, 2017, 2915511100106100000, 29155111, 임암동, 01, 유지, 610답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05647405, 2017, 2915511100106100000, 29155111, 임암동, 01, 유지, 610답, 01, 논, 01, 항공영상, 20181130, , , 35616065
05593916, 2017, 2915511600101070002, 29155116, 구소동, 01, 유지, 107-2답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593915, 2017, 2915511600101080000, 29155116, 구소동, 02, 변경, 108전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05594041, 2017, 2915511600101210001, 29155116, 구소동, 02, 변경, 121-1전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05594047, 2017, 2915511600104380001, 29155116, 구소동, 01, 유지, 438-1답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05594045, 2017, 2915511600104390001, 29155116, 구소동, 01, 유지, 439-1답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05594039, 2017, 2915511600104420002, 29155116, 구소동, 01, 유지, 442-2답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05594040, 2017, 2915511600104430002, 29155116, 구소동, 01, 유지, 443-2답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593257, 2017, 2915511600104440001, 29155116, 구소동, 01, 유지, 444-1답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593256, 2017, 2915511600104460002, 29155116, 구소동, 01, 유지, 446-2답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593999, 2017, 2915511600104550001, 29155116, 구소동, 02, 변경, 455-1전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593974, 2017, 2915511600104690000, 29155116, 구소동, 02, 변경, 469전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593973, 2017, 2915511600104700000, 29155116, 구소동, 02, 변경, 470전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593962, 2017, 2915511600104750000, 29155116, 구소동, 02, 변경, 475전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05594011, 2017, 2915511600104780000, 29155116, 구소동, 02, 변경, 478전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05594007, 2017, 2915511600104790000, 29155116, 구소동, 02, 변경, 479전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05594009, 2017, 2915511600104800000, 29155116, 구소동, 02, 변경, 480전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05594025, 2017, 2915511600105030000, 29155116, 구소동, 02, 변경, 503전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593958, 2017, 2915511600105120000, 29155116, 구소동, 02, 변경, 512전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593967, 2017, 2915511600105500000, 29155116, 구소동, 02, 변경, 550전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593972, 2017, 2915511600105560000, 29155116, 구소동, 02, 변경, 556전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05594049, 2017, 2915511600105680003, 29155116, 구소동, 01, 유지, 568-3답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05594052, 2017, 2915511600105730004, 29155116, 구소동, 02, 변경, 573-4전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593830, 2017, 2915511600106420000, 29155116, 구소동, 02, 변경, 642전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592367, 2017, 2915511600106550000, 29155116, 구소동, 01, 유지, 655답, 01, 논, 01, 항공영상, 20181130, , , 35616072
05593290, 2017, 2915511600106750000, 29155116, 구소동, 02, 변경, 675전, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592977, 2017, 2915511600106990001, 29155116, 구소동, 01, 유지, 699-1답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592979, 2017, 2915511600106990003, 29155116, 구소동, 01, 유지, 699-3답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592981, 2017, 2915511600106990005, 29155116, 구소동, 01, 유지, 699-5답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592980, 2017, 2915511600106990006, 29155116, 구소동, 01, 유지, 699-6답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592982, 2017, 2915511600106990007, 29155116, 구소동, 01, 유지, 699-7답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592965, 2017, 2915511600106990008, 29155116, 구소동, 01, 유지, 699-8답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592966, 2017, 2915511600106990009, 29155116, 구소동, 01, 유지, 699-9답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592967, 2017, 2915511600106990010, 29155116, 구소동, 01, 유지, 699-10답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592969, 2017, 2915511600106990011, 29155116, 구소동, 01, 유지, 699-11답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592970, 2017, 2915511600106990012, 29155116, 구소동, 01, 유지, 699-12답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592962, 2017, 2915511600107000004, 29155116, 구소동, 01, 유지, 700-4답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592961, 2017, 2915511600107000005, 29155116, 구소동, 01, 유지, 700-5답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592960, 2017, 2915511600107000006, 29155116, 구소동, 01, 유지, 700-6답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592959, 2017, 2915511600107000008, 29155116, 구소동, 01, 유지, 700-8답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592956, 2017, 2915511600107000011, 29155116, 구소동, 01, 유지, 700-11답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592957, 2017, 2915511600107000012, 29155116, 구소동, 01, 유지, 700-12답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592953, 2017, 2915511600107000014, 29155116, 구소동, 01, 유지, 700-14답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592950, 2017, 2915511600107000018, 29155116, 구소동, 01, 유지, 700-18답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592949, 2017, 2915511600107000019, 29155116, 구소동, 01, 유지, 700-19답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05593876, 2017, 2915511600107010002, 29155116, 구소동, 01, 유지, 701-2답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592912, 2017, 2915511600107020002, 29155116, 구소동, 01, 유지, 702-2답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592909, 2017, 2915511600107020004, 29155116, 구소동, 01, 유지, 702-4답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592908, 2017, 2915511600107020005, 29155116, 구소동, 01, 유지, 702-5답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592910, 2017, 2915511600107020006, 29155116, 구소동, 01, 유지, 702-6답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592900, 2017, 2915511600107020018, 29155116, 구소동, 01, 유지, 702-18답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592902, 2017, 2915511600107020019, 29155116, 구소동, 01, 유지, 702-19답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592901, 2017, 2915511600107020020, 29155116, 구소동, 01, 유지, 702-20답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05573221, 2017, 2915511600107020021, 29155116, 구소동, 01, 유지, 702-21답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592898, 2017, 2915511600107020022, 29155116, 구소동, 01, 유지, 702-22답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592941, 2017, 2915511600107030003, 29155116, 구소동, 01, 유지, 703-3답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592881, 2017, 2915511600107040001, 29155116, 구소동, 01, 유지, 704-1답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592892, 2017, 2915511600107040002, 29155116, 구소동, 01, 유지, 704-2답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592889, 2017, 2915511600107040003, 29155116, 구소동, 01, 유지, 704-3답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592883, 2017, 2915511600107040004, 29155116, 구소동, 01, 유지, 704-4답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592882, 2017, 2915511600107040005, 29155116, 구소동, 01, 유지, 704-5답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592890, 2017, 2915511600107040006, 29155116, 구소동, 01, 유지, 704-6답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592891, 2017, 2915511600107040007, 29155116, 구소동, 01, 유지, 704-7답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592897, 2017, 2915511600107040009, 29155116, 구소동, 01, 유지, 704-9답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592893, 2017, 2915511600107040010, 29155116, 구소동, 01, 유지, 704-10답, 01, 논, 01, 항공영상, 20181130, , , 35616073
05592888, 2017, 2915511600107040011, 29155116, 구소동, 01, 유지, 704-11답, 01, 논, 01, 항공영상, 20181130, , , 35616073
