팜맵고유번호, 영상촬영년도, PNU지번코드, 법정읍면동코드, 법정읍면동명, 변경구분코드, 변경구분명, 지번, 판독코드, 판독명, 판독영상구분코드, 판독영상구분명, 판독입력일자, 갱신이력코드, 갱신이력명, 도엽번호
05575803, 2017, 2911011900101410000, 29110119, 소태동, 01, 유지, 141답, 01, 논, 01, 항공영상, 20181130, , , 35616058
05575805, 2017, 2911011900101500000, 29110119, 소태동, 01, 유지, 150답, 01, 논, 01, 항공영상, 20181130, , , 35616059
05574197, 2017, 2911012000102790000, 29110120, 용연동, 01, 유지, 279 답, 01, 논, 01, 항공영상, 20181130, , , 35616069
05574759, 2017, 2911012000104040000, 29110120, 용연동, 01, 유지, 404 답, 01, 논, 01, 항공영상, 20181130, , , 35616069
05574760, 2017, 2911012000104040000, 29110120, 용연동, 01, 유지, 404 답, 01, 논, 01, 항공영상, 20181130, , , 35616069
05574740, 2017, 2911012000104080000, 29110120, 용연동, 01, 유지, 408 답, 01, 논, 01, 항공영상, 20181130, , , 35616069
05574741, 2017, 2911012000104100000, 29110120, 용연동, 01, 유지, 410 답, 01, 논, 01, 항공영상, 20181130, , , 35616069
05574742, 2017, 2911012000104100000, 29110120, 용연동, 01, 유지, 410 답, 01, 논, 01, 항공영상, 20181130, , , 35616069
05574744, 2017, 2911012000104110000, 29110120, 용연동, 01, 유지, 411 답, 01, 논, 01, 항공영상, 20181130, , , 35616069
05574745, 2017, 2911012000104110000, 29110120, 용연동, 01, 유지, 411 답, 01, 논, 01, 항공영상, 20181130, , , 35616069
05574717, 2017, 2911012000104340001, 29110120, 용연동, 01, 유지, 434-1 답, 01, 논, 01, 항공영상, 20181130, , , 35616069
05574200, 2017, 2911012000105610000, 29110120, 용연동, 01, 유지, 561 답, 01, 논, 01, 항공영상, 20181130, , , 35616069
05574710, 2017, 2911012000105730000, 29110120, 용연동, 01, 유지, 573 답, 01, 논, 01, 항공영상, 20181130, , , 35616069
05575879, 2017, 2911012300100820000, 29110123, 월남동, 01, 유지, 82답, 01, 논, 01, 항공영상, 20181130, , , 35616058
05575880, 2017, 2911012300100820000, 29110123, 월남동, 01, 유지, 82답, 01, 논, 01, 항공영상, 20181130, , , 35616058
05575881, 2017, 2911012300100820000, 29110123, 월남동, 01, 유지, 82답, 01, 논, 01, 항공영상, 20181130, , , 35616058
05575871, 2017, 2911012300100820000, 29110123, 월남동, 01, 유지, 82답, 01, 논, 01, 항공영상, 20181130, , , 35616058
05575872, 2017, 2911012300100820000, 29110123, 월남동, 01, 유지, 82답, 01, 논, 01, 항공영상, 20181130, , , 35616058
05575874, 2017, 2911012300100820000, 29110123, 월남동, 01, 유지, 82답, 01, 논, 01, 항공영상, 20181130, , , 35616058
05575875, 2017, 2911012300100820000, 29110123, 월남동, 01, 유지, 82답, 01, 논, 01, 항공영상, 20181130, , , 35616058
