팜맵고유번호, 영상촬영년도, PNU지번코드, 법정읍면동코드, 법정읍면동명, 변경구분코드, 변경구분명, 지번, 판독코드, 판독명, 판독영상구분코드, 판독영상구분명, 판독입력일자, 갱신이력코드, 갱신이력명, 도엽번호
05587804, 2017, 2917010700103000000, 29170107, 용봉동, 02, 변경, 300학, 01, 논, 01, 항공영상, 20181130, , , 35616036
05590268, 2017, 2917010700103000000, 29170107, 용봉동, 02, 변경, 300학, 01, 논, 01, 항공영상, 20181130, , , 35616036
05590372, 2017, 2917010800109140010, 29170108, 동림동, 01, 유지, 914-10답, 01, 논, 01, 항공영상, 20181130, , , 35616035
05590371, 2017, 2917010800109140011, 29170108, 동림동, 01, 유지, 914-11답, 01, 논, 01, 항공영상, 20181130, , , 35616035
05590370, 2017, 2917010800109140012, 29170108, 동림동, 01, 유지, 914-12답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590378, 2017, 2917010800109140014, 29170108, 동림동, 01, 유지, 914-14답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05588145, 2017, 2917010800109140016, 29170108, 동림동, 01, 유지, 914-16답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590368, 2017, 2917010800109150004, 29170108, 동림동, 01, 유지, 915-4답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590369, 2017, 2917010800109150005, 29170108, 동림동, 01, 유지, 915-5답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590367, 2017, 2917010800109150006, 29170108, 동림동, 01, 유지, 915-6답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590373, 2017, 2917010800109150010, 29170108, 동림동, 01, 유지, 915-10답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590376, 2017, 2917010800109150012, 29170108, 동림동, 01, 유지, 915-12답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590375, 2017, 2917010800109150013, 29170108, 동림동, 01, 유지, 915-13답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590366, 2017, 2917010800109160009, 29170108, 동림동, 01, 유지, 916-9답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590365, 2017, 2917010800109170013, 29170108, 동림동, 01, 유지, 917-13답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590363, 2017, 2917010800109170015, 29170108, 동림동, 01, 유지, 917-15 답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590354, 2017, 2917010800109180009, 29170108, 동림동, 01, 유지, 918-9답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590355, 2017, 2917010800109180017, 29170108, 동림동, 01, 유지, 918-17답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590348, 2017, 2917010800109190007, 29170108, 동림동, 01, 유지, 919-7답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590349, 2017, 2917010800109190008, 29170108, 동림동, 01, 유지, 919-8답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590352, 2017, 2917010800109190010, 29170108, 동림동, 01, 유지, 919-10답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590353, 2017, 2917010800109190011, 29170108, 동림동, 01, 유지, 919-11답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590350, 2017, 2917010800109190012, 29170108, 동림동, 01, 유지, 919-12답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590351, 2017, 2917010800109190014, 29170108, 동림동, 01, 유지, 919-14답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590358, 2017, 2917010800109210005, 29170108, 동림동, 01, 유지, 921-5답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590360, 2017, 2917010800109210007, 29170108, 동림동, 01, 유지, 921-7답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05588160, 2017, 2917010800109220007, 29170108, 동림동, 01, 유지, 922-7답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05588129, 2017, 2917010800109220009, 29170108, 동림동, 01, 유지, 922-9답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05588128, 2017, 2917010800109220011, 29170108, 동림동, 01, 유지, 922-11답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05588127, 2017, 2917010800109220012, 29170108, 동림동, 01, 유지, 922-12답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590382, 2017, 2917010800109230001, 29170108, 동림동, 01, 유지, 923-1답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05588151, 2017, 2917010800109230003, 29170108, 동림동, 01, 유지, 923-3답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590383, 2017, 2917010800109230004, 29170108, 동림동, 01, 유지, 923-4답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05588146, 2017, 2917010800109230005, 29170108, 동림동, 01, 유지, 923-5답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05588150, 2017, 2917010800109230006, 29170108, 동림동, 01, 유지, 923-6답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590387, 2017, 2917010800109230008, 29170108, 동림동, 01, 유지, 923-8답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05589194, 2017, 2917010800109230012, 29170108, 동림동, 01, 유지, 923-12답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05589196, 2017, 2917010800109230013, 29170108, 동림동, 01, 유지, 923-13답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05589197, 2017, 2917010800109230014, 29170108, 동림동, 01, 유지, 923-14답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05589195, 2017, 2917010800109230022, 29170108, 동림동, 01, 유지, 923-22답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05589198, 2017, 2917010800109230023, 29170108, 동림동, 01, 유지, 923-23답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05590374, 2017, 2917010800109240003, 29170108, 동림동, 01, 유지, 924-3답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590379, 2017, 2917010800109240003, 29170108, 동림동, 01, 유지, 924-3답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590381, 2017, 2917010800109240004, 29170108, 동림동, 01, 유지, 924-4답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590380, 2017, 2917010800109240005, 29170108, 동림동, 01, 유지, 924-5답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05589193, 2017, 2917010800109240007, 29170108, 동림동, 01, 유지, 924-7답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05589192, 2017, 2917010800109240009, 29170108, 동림동, 01, 유지, 924-9답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05588148, 2017, 2917010800109240010, 29170108, 동림동, 01, 유지, 924-10답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05590377, 2017, 2917010800109250005, 29170108, 동림동, 01, 유지, 925-5답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05589191, 2017, 2917010800109250010, 29170108, 동림동, 01, 유지, 925-10답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05588024, 2017, 2917010800109250011, 29170108, 동림동, 01, 유지, 925-11답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05589190, 2017, 2917010800109250013, 29170108, 동림동, 01, 유지, 925-13답, 01, 논, 01, 항공영상, 20181130, , , 35616025
05589189, 2017, 2917010800109250019, 29170108, 동림동, 01, 유지, 925-19답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589187, 2017, 2917010800109250020, 29170108, 동림동, 01, 유지, 925-20답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589188, 2017, 2917010800109250022, 29170108, 동림동, 02, 변경, 925-22 장, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589202, 2017, 2917010800109260001, 29170108, 동림동, 01, 유지, 926-1답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589203, 2017, 2917010800109260002, 29170108, 동림동, 01, 유지, 926-2답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589204, 2017, 2917010800109260003, 29170108, 동림동, 01, 유지, 926-3답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589205, 2017, 2917010800109260004, 29170108, 동림동, 01, 유지, 926-4답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589206, 2017, 2917010800109260005, 29170108, 동림동, 01, 유지, 926-5답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589207, 2017, 2917010800109260006, 29170108, 동림동, 01, 유지, 926-6답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589215, 2017, 2917010800109260010, 29170108, 동림동, 01, 유지, 926-10답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589186, 2017, 2917010800109270001, 29170108, 동림동, 01, 유지, 927-1답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589185, 2017, 2917010800109270002, 29170108, 동림동, 01, 유지, 927-2답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589184, 2017, 2917010800109270003, 29170108, 동림동, 01, 유지, 927-3답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589181, 2017, 2917010800109270008, 29170108, 동림동, 01, 유지, 927-8답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589180, 2017, 2917010800109270009, 29170108, 동림동, 01, 유지, 927-9답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589179, 2017, 2917010800109270010, 29170108, 동림동, 01, 유지, 927-10답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589178, 2017, 2917010800109270014, 29170108, 동림동, 01, 유지, 927-14답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589177, 2017, 2917010800109280004, 29170108, 동림동, 01, 유지, 928-4답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589175, 2017, 2917010800109280005, 29170108, 동림동, 01, 유지, 928-5답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05589176, 2017, 2917010800109280006, 29170108, 동림동, 01, 유지, 928-6답, 01, 논, 01, 항공영상, 20181130, , , 35616024
05587307, 2017, 2917010900101930004, 29170109, 운암동, 01, 유지, 193-4답, 01, 논, 01, 항공영상, 20181130, , , 35616026
05587328, 2017, 2917010900101940002, 29170109, 운암동, 01, 유지, 194-2답, 01, 논, 01, 항공영상, 20181130, , , 35616026
05587329, 2017, 2917010900101940004, 29170109, 운암동, 01, 유지, 194-4답, 01, 논, 01, 항공영상, 20181130, , , 35616026
05587325, 2017, 2917010900101940007, 29170109, 운암동, 01, 유지, 194-7답, 01, 논, 01, 항공영상, 20181130, , , 35616026
05587300, 2017, 2917010900102030002, 29170109, 운암동, 02, 변경, 203-2전, 01, 논, 01, 항공영상, 20181130, , , 35616026
05587333, 2017, 2917010900102100018, 29170109, 운암동, 01, 유지, 210-18답, 01, 논, 01, 항공영상, 20181130, , , 35616026
05587337, 2017, 2917010900102100019, 29170109, 운암동, 01, 유지, 210-19답, 01, 논, 01, 항공영상, 20181130, , , 35616026
05587336, 2017, 2917010900102100020, 29170109, 운암동, 01, 유지, 210-20답, 01, 논, 01, 항공영상, 20181130, , , 35616026
05587334, 2017, 2917010900102100021, 29170109, 운암동, 01, 유지, 210-21답, 01, 논, 01, 항공영상, 20181130, , , 35616026
05587335, 2017, 2917010900102100022, 29170109, 운암동, 01, 유지, 210-22답, 01, 논, 01, 항공영상, 20181130, , , 35616026
05583569, 2017, 2917011200100330000, 29170112, 문흥동, 01, 유지, 33답, 01, 논, 01, 항공영상, 20181130, , , 35616028
05583542, 2017, 2917011200100560000, 29170112, 문흥동, 01, 유지, 56답, 01, 논, 01, 항공영상, 20181130, , , 35616028
05583539, 2017, 2917011200100570000, 29170112, 문흥동, 01, 유지, 57답, 01, 논, 01, 항공영상, 20181130, , , 35616028
05586921, 2017, 2917011500108570004, 29170115, 오치동, 01, 유지, 857-4답, 01, 논, 01, 항공영상, 20181130, , , 35616027
05586966, 2017, 2917011600102030000, 29170116, 삼각동, 01, 유지, 203답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05586961, 2017, 2917011600102140000, 29170116, 삼각동, 01, 유지, 214답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05585866, 2017, 2917011600102220002, 29170116, 삼각동, 01, 유지, 222-2답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05585864, 2017, 2917011600102250000, 29170116, 삼각동, 01, 유지, 225답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05585891, 2017, 2917011600102650000, 29170116, 삼각동, 01, 유지, 265답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05585892, 2017, 2917011600102650000, 29170116, 삼각동, 01, 유지, 265답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05585942, 2017, 2917011600102780000, 29170116, 삼각동, 01, 유지, 278답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05585943, 2017, 2917011600102780000, 29170116, 삼각동, 01, 유지, 278답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05585941, 2017, 2917011600102790000, 29170116, 삼각동, 01, 유지, 279답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05585944, 2017, 2917011600102790000, 29170116, 삼각동, 01, 유지, 279답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05585940, 2017, 2917011600102790000, 29170116, 삼각동, 01, 유지, 279답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05586090, 2017, 2917011600103690000, 29170116, 삼각동, 01, 유지, 369답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05586091, 2017, 2917011600103690000, 29170116, 삼각동, 01, 유지, 369답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05586084, 2017, 2917011600103710000, 29170116, 삼각동, 01, 유지, 371답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05586085, 2017, 2917011600103720000, 29170116, 삼각동, 01, 유지, 372답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05586140, 2017, 2917011600103760000, 29170116, 삼각동, 01, 유지, 376답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05586136, 2017, 2917011600103760000, 29170116, 삼각동, 01, 유지, 376답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05586137, 2017, 2917011600103760000, 29170116, 삼각동, 01, 유지, 376답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05586117, 2017, 2917011600103790001, 29170116, 삼각동, 01, 유지, 379-1답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05586112, 2017, 2917011600104160000, 29170116, 삼각동, 01, 유지, 416답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05586096, 2017, 2917011600104160000, 29170116, 삼각동, 01, 유지, 416답, 01, 논, 01, 항공영상, 20181130, , , 35616017
05601333, 2017, 2917011800100630000, 29170118, 충효동, 02, 변경, 63대, 01, 논, 01, 항공영상, 20181130, , , 35713021
05601345, 2017, 2917011800100670003, 29170118, 충효동, 01, 유지, 67-3답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05600946, 2017, 2917011800100670003, 29170118, 충효동, 01, 유지, 67-3답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05600947, 2017, 2917011800100670003, 29170118, 충효동, 01, 유지, 67-3답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05600948, 2017, 2917011800100670004, 29170118, 충효동, 01, 유지, 67-4답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05600949, 2017, 2917011800100670005, 29170118, 충효동, 01, 유지, 67-5답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05600951, 2017, 2917011800100680004, 29170118, 충효동, 01, 유지, 68-4 답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05601351, 2017, 2917011800100690001, 29170118, 충효동, 01, 유지, 69-1답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05601330, 2017, 2917011800100690004, 29170118, 충효동, 01, 유지, 69-4답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05601328, 2017, 2917011800100750001, 29170118, 충효동, 01, 유지, 75-1답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05601332, 2017, 2917011800100760000, 29170118, 충효동, 02, 변경, 76전, 01, 논, 01, 항공영상, 20181130, , , 35713021
05601224, 2017, 2917011800101110000, 29170118, 충효동, 01, 유지, 111답, 01, 논, 01, 항공영상, 20181130, , , 35713031
05601225, 2017, 2917011800101120000, 29170118, 충효동, 01, 유지, 112답, 01, 논, 01, 항공영상, 20181130, , , 35713031
05601231, 2017, 2917011800101130000, 29170118, 충효동, 01, 유지, 113답, 01, 논, 01, 항공영상, 20181130, , , 35713031
05601269, 2017, 2917011800101200001, 29170118, 충효동, 01, 유지, 120-1 답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05601268, 2017, 2917011800101200006, 29170118, 충효동, 01, 유지, 120-6 답, 01, 논, 01, 항공영상, 20181130, , , 35713031
05601270, 2017, 2917011800101210001, 29170118, 충효동, 01, 유지, 121-1답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05601285, 2017, 2917011800101690000, 29170118, 충효동, 01, 유지, 169답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05601290, 2017, 2917011800101700001, 29170118, 충효동, 01, 유지, 170-1답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05601291, 2017, 2917011800101700001, 29170118, 충효동, 01, 유지, 170-1답, 01, 논, 01, 항공영상, 20181130, , , 35713021
05601292, 2017, 2917011800101700001, 29170118, 충효동, 01, 유지, 170-1답, 01, 논, 01, 항공영상, 20181130, , , 35713021
