팜맵고유번호, 영상촬영년도, PNU지번코드, 법정읍면동코드, 법정읍면동명, 변경구분코드, 변경구분명, 지번, 판독코드, 판독명, 판독영상구분코드, 판독영상구분명, 판독입력일자, 갱신이력코드, 갱신이력명, 도엽번호
05590013, 2017, 2914011600105900001, 29140116, 유촌동, 01, 유지, 590-1답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05588120, 2017, 2914011600105900002, 29140116, 유촌동, 01, 유지, 590-2답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05588119, 2017, 2914011600105900005, 29140116, 유촌동, 01, 유지, 590-5답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05588118, 2017, 2914011600105900006, 29140116, 유촌동, 01, 유지, 590-6답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05590014, 2017, 2914011600105900008, 29140116, 유촌동, 01, 유지, 590-8답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589883, 2017, 2914011600105900010, 29140116, 유촌동, 01, 유지, 590-10답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589438, 2017, 2914011600105900013, 29140116, 유촌동, 01, 유지, 590-13답, 01, 논, 01, 항공영상, 20181130, , , 35616035
05589439, 2017, 2914011600105900014, 29140116, 유촌동, 01, 유지, 590-14답, 01, 논, 01, 항공영상, 20181130, , , 35616035
05589983, 2017, 2914011600105910003, 29140116, 유촌동, 01, 유지, 591-3답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589980, 2017, 2914011600105910005, 29140116, 유촌동, 01, 유지, 591-5답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589975, 2017, 2914011600105910007, 29140116, 유촌동, 01, 유지, 591-7답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589976, 2017, 2914011600105910009, 29140116, 유촌동, 01, 유지, 591-9답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589978, 2017, 2914011600105910010, 29140116, 유촌동, 01, 유지, 591-10 답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589879, 2017, 2914011600105910011, 29140116, 유촌동, 01, 유지, 591-11답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589880, 2017, 2914011600105910011, 29140116, 유촌동, 01, 유지, 591-11답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589881, 2017, 2914011600105910012, 29140116, 유촌동, 01, 유지, 591-12답, 01, 논, 01, 항공영상, 20181130, , , 35616035
05589977, 2017, 2914011600105910019, 29140116, 유촌동, 01, 유지, 591-19 답, 01, 논, 01, 항공영상, 20181130, , , 35616034
